name	biotoolsID	fulltext	file_path
SubtiWiki	subtiwiki	PMC8728116	fulltexts/PMC8728116.xml
MetaPathways	metapathways	PMC4595896	fulltexts/PMC4595896.xml
MetaPathways	metapathways	PMC3695837	fulltexts/PMC3695837.xml
MZmine	mzmine	PMC1187873	fulltexts/PMC1187873.xml
iPHoP	iphop	PMC10155999	fulltexts/PMC10155999.xml
SLiM	SLiM_software	PMC6389312	fulltexts/PMC6389312.xml
Jalview	Jalview	PMC2672624	fulltexts/PMC2672624.xml
ITHANET	the_ithanet_portal	PMC4109966	fulltexts/PMC4109966.xml
ITHANET	the_ithanet_portal	PMC10289560	fulltexts/PMC10289560.xml
ITHANET	the_ithanet_portal	PMC9782104	fulltexts/PMC9782104.xml
ITHANET	the_ithanet_portal	PMC9731569	fulltexts/PMC9731569.xml
ITHANET	the_ithanet_portal	PMC6912721	fulltexts/PMC6912721.xml
Fiji	Fiji	PMC6861648	fulltexts/PMC6861648.xml
BCFtools	bcftools	PMC2723002	fulltexts/PMC2723002.xml
BCFtools	bcftools	PMC7931819	fulltexts/PMC7931819.xml
SAMtools	samtools	PMC2723002	fulltexts/PMC2723002.xml
SAMtools	samtools	PMC7931819	fulltexts/PMC7931819.xml
HTSlib	htslib	PMC7931820	fulltexts/PMC7931820.xml
Sirius	sirius	PMC2639009	fulltexts/PMC2639009.xml
AluMine	AluMine	PMC6639938	fulltexts/PMC6639938.xml
cytoviewer	cytoviewer	PMC10765786	fulltexts/PMC10765786.xml
ARTEM	artem	PMC10484739	fulltexts/PMC10484739.xml
REPET	repet	PMC4008368	fulltexts/PMC4008368.xml
REPET	repet	PMC3031573	fulltexts/PMC3031573.xml
REPET	repet	PMC1185648	fulltexts/PMC1185648.xml
PASTEClassifier	PASTEClassifier	PMC4008368	fulltexts/PMC4008368.xml
DataDiscovery	DataDiscovery	PMC5120350	fulltexts/PMC5120350.xml
DataDiscovery	DataDiscovery	PMC6097284	fulltexts/PMC6097284.xml
SyntenyViewer	urgi	PMC10167986	fulltexts/PMC10167986.xml
Phenotator	phenotator	PMC4870745	fulltexts/PMC4870745.xml
ADAPTIVE	ADAPTIVE	PMC6612897	fulltexts/PMC6612897.xml
MarCat	marcat	PMC5753341	fulltexts/PMC5753341.xml
MarRef	marref	PMC5753341	fulltexts/PMC5753341.xml
MarDB	mardb	PMC5753341	fulltexts/PMC5753341.xml
Marine Metagenomics Portal	mmp	PMC5753341	fulltexts/PMC5753341.xml
Integrated Microbial Genomes (IMG)	img	PMC2808961	fulltexts/PMC2808961.xml
Integrated Microbial Genomes (IMG)	img	PMC3245086	fulltexts/PMC3245086.xml
iMet-Q	imet-q	PMC4718670	fulltexts/PMC4718670.xml
RmsiGUI	rmsigui	PMC8205298	fulltexts/PMC8205298.xml
i2i	ion-to-image	PMC10413325	fulltexts/PMC10413325.xml
mi-CNN	mi-cnn	PMC7355295	fulltexts/PMC7355295.xml
SpaceM	spacem	PMC7611214	fulltexts/PMC7611214.xml
SPUTNIK	SPUTNIK	PMC6298046	fulltexts/PMC6298046.xml
MSIWarp	msiwarp	PMC7745203	fulltexts/PMC7745203.xml
massPix	masspix	PMC5608769	fulltexts/PMC5608769.xml
PatchDock	patchdock	PMC1160241	fulltexts/PMC1160241.xml
WheatIS	WheatIS	PMC6097284	fulltexts/PMC6097284.xml
PSIPRED	psipred	PMC3692098	fulltexts/PMC3692098.xml
Reactome	reactome	PMC3013646	fulltexts/PMC3013646.xml
Reactome	reactome	PMC10767911	fulltexts/PMC10767911.xml
MAGMA	magma-pipeline	PMC8743552	fulltexts/PMC8743552.xml
MAGMA	magma	PMC8743552	fulltexts/PMC8743552.xml
APE	ape	PMC7304703	fulltexts/PMC7304703.xml
APE	ape	PMC8041394	fulltexts/PMC8041394.xml
DISGENET	disgenet	PMC4397996	fulltexts/PMC4397996.xml
DISGENET	disgenet	PMC5210640	fulltexts/PMC5210640.xml
DISGENET	disgenet	PMC4937199	fulltexts/PMC4937199.xml
DISGENET	disgenet	PMC3114846	fulltexts/PMC3114846.xml
DISGENET	disgenet	PMC5210640	fulltexts/PMC5210640.xml
DISGENET	disgenet	PMC7145631	fulltexts/PMC7145631.xml
OpenChrom	openchrom	PMC2920884	fulltexts/PMC2920884.xml
MetaboLights	metabolights	PMC3531110	fulltexts/PMC3531110.xml
Phobius (EBI)	phobius	PMC11223882	fulltexts/PMC11223882.xml
Phobius (EBI)	phobius	PMC9252731	fulltexts/PMC9252731.xml
Human Splicing Finder	human_splicing_finder	PMC2685110	fulltexts/PMC2685110.xml
GPMsDB-dbtk	gpmsdb-dbtk	PMC10696839	fulltexts/PMC10696839.xml
GPMsDB-tk	gpmsdb-tk	PMC10696839	fulltexts/PMC10696839.xml
MacSyFinder	macsyfinder	PMC4201578	fulltexts/PMC4201578.xml
KVFinder	kvfinder	PMC4071799	fulltexts/PMC4071799.xml
KVFinder-web	kvfinder-web	PMC10320092	fulltexts/PMC10320092.xml
KVFinder-web	kvfinder_web	PMC10320092	fulltexts/PMC10320092.xml
pyKVFinder	pykvfinder	PMC8685811	fulltexts/PMC8685811.xml
PsiCLASS	psiclass	PMC6825223	fulltexts/PMC6825223.xml
PACU	pacu	PMC11077942	fulltexts/PMC11077942.xml
PyBDEI	pybdei	PMC10924745	fulltexts/PMC10924745.xml
AntiBP3	antibp3	PMC10885866	fulltexts/PMC10885866.xml
MRSLpred	mrslpred	PMC10877048	fulltexts/PMC10877048.xml
hmrbase	hmrbase	PMC2720991	fulltexts/PMC2720991.xml
CDpred	cdpred	PMC9893285	fulltexts/PMC9893285.xml
PhageTB	cellppd-mod	PMC10076811	fulltexts/PMC10076811.xml
CancerLivER	cancerliver	PMC7061090	fulltexts/PMC7061090.xml
PyChelator	pychelator	PMC11253343	fulltexts/PMC11253343.xml
Stitch	stitch-snijderlab	PMC11301774	fulltexts/PMC11301774.xml
RNAscape	rnascape	PMC11223802	fulltexts/PMC11223802.xml
StCoExpNet	stcoexpnet	PMC11018665	fulltexts/PMC11018665.xml
shinyseg	shinyseg	PMC11069105	fulltexts/PMC11069105.xml
CITEViz	citeviz	PMC10988918	fulltexts/PMC10988918.xml
CPPLS_MLP	cppls_mlp	PMC11056015	fulltexts/PMC11056015.xml
Cat-E	cat_e	PMC11001601	fulltexts/PMC11001601.xml
STRIDE-DB	stride_db	PMC11008502	fulltexts/PMC11008502.xml
VirusPredictor	viruspredictor	PMC11052659	fulltexts/PMC11052659.xml
Plant-LncPipe	plant_lncpipe	PMC11024640	fulltexts/PMC11024640.xml
MolProphet	molprophet	PMC11040716	fulltexts/PMC11040716.xml
GbyE	gbye	PMC11027269	fulltexts/PMC11027269.xml
RBProkCNN	rbprokcnn	PMC11039349	fulltexts/PMC11039349.xml
scTE	scte	PMC7935913	fulltexts/PMC7935913.xml
ProNet DB	pronet_db	PMC10984565	fulltexts/PMC10984565.xml
Shaoxia	shaoxia	PMC11040744	fulltexts/PMC11040744.xml
GenoMycAnalyzer	genomycanalyzer	PMC11031912	fulltexts/PMC11031912.xml
PyPop	pypop	PMC11019567	fulltexts/PMC11019567.xml
PySmooth	pysmooth	PMC11010338	fulltexts/PMC11010338.xml
rnaCrosslinkOO	rnacrosslinkoo	PMC11060868	fulltexts/PMC11060868.xml
scPipe	scpipe	PMC10689045	fulltexts/PMC10689045.xml
JCat	jcat	PMC1160137	fulltexts/PMC1160137.xml
PyMOL	pymol	PMC3156697	fulltexts/PMC3156697.xml
PyMOL	pymolshortcuts	PMC3156697	fulltexts/PMC3156697.xml
eTBLAST	etblast	PMC1933238	fulltexts/PMC1933238.xml
ChemoDOTS	chemodots	PMC11223810	fulltexts/PMC11223810.xml
X-omics ACTION demonstrator multi-omics analysis workflow	x-omics_action_demonstrator_multi-omics_analysis_workflow	PMC10787363	fulltexts/PMC10787363.xml
Expasy	expasy	PMC3394269	fulltexts/PMC3394269.xml
Expasy	expasy	PMC8265094	fulltexts/PMC8265094.xml
MSFragger	msfragger	PMC5409104	fulltexts/PMC5409104.xml
trimAl	trimal	PMC2712344	fulltexts/PMC2712344.xml
WebMaBoSS	webmaboss	PMC8651056	fulltexts/PMC8651056.xml
MaBoSS	maboss	PMC3517402	fulltexts/PMC3517402.xml
ENDscript 2.0	endscript_2.0	PMC4086106	fulltexts/PMC4086106.xml
Smoother	smoother	PMC10954447	fulltexts/PMC10954447.xml
iVar	andersen-lab_ivar	PMC6325816	fulltexts/PMC6325816.xml
iVar	ivar	PMC6325816	fulltexts/PMC6325816.xml
Goslin	goslin	PMC7467413	fulltexts/PMC7467413.xml
Domain2GO	domain2go	PMC11099699	fulltexts/PMC11099699.xml
MerCat2	mercat2	PMC11090762	fulltexts/PMC11090762.xml
BaRDIC	bardic	PMC11106031	fulltexts/PMC11106031.xml
scalepopgen	scalepopgen	PMC10994858	fulltexts/PMC10994858.xml
ArCH	arch	PMC11014783	fulltexts/PMC11014783.xml
MetaTron	metatron	PMC10941452	fulltexts/PMC10941452.xml
scNovel	scnovel	PMC10981759	fulltexts/PMC10981759.xml
BoostDiff	boostdiff	PMC10948285	fulltexts/PMC10948285.xml
InPACT	inpact	PMC10960005	fulltexts/PMC10960005.xml
GEMLI	gemli	PMC10980719	fulltexts/PMC10980719.xml
HIResist	hiresist	PMC10919947	fulltexts/PMC10919947.xml
FlexStat	flexstat	PMC11055397	fulltexts/PMC11055397.xml
AuCoMe	aucome	PMC10629481	fulltexts/PMC10629481.xml
CLIPPER 2.0	clipper_2.0	PMC11192779	fulltexts/PMC11192779.xml
IBDTransDB	ibdtransdb	PMC10986744	fulltexts/PMC10986744.xml
