name	pubmedid	pubmedcid	link
Seurat	34062119	PMC8238499	fulltexts/PMC8238499.xml
make_nr	NA	PMC2803857	fulltexts/PMC2803857.xml
anndata	NA	PMC5802054	fulltexts/PMC5802054.xml
blast_rbh	NA	PMC2803857	fulltexts/PMC2803857.xml
Bakta	34739369	PMC8743544	fulltexts/PMC8743544.xml
MUMmer4	NA	PMC5802927	fulltexts/PMC5802927.xml
PscanChIP	NA	PMC3692095	fulltexts/PMC3692095.xml
gget	38377393	PMC10927331	fulltexts/PMC10927331.xml
SIBiLS	32379317	PMC7319474	fulltexts/PMC7319474.xml
Variomes	35274687	PMC9048643	fulltexts/PMC9048643.xml
RegRNA	16845041	PMC1538840	fulltexts/PMC1538840.xml
SubtiWiki	34664671	PMC8728116	fulltexts/PMC8728116.xml
MetaPathways	NA	PMC4595896	fulltexts/PMC4595896.xml
MetaPathways	NA	PMC3695837	fulltexts/PMC3695837.xml
MZmine	16026613	PMC1187873	fulltexts/PMC1187873.xml
iPHoP	NA	PMC10155999	fulltexts/PMC10155999.xml
SLiM	NA	PMC6389312	fulltexts/PMC6389312.xml
Jalview	NA	PMC2672624	fulltexts/PMC2672624.xml
ITHANET	25058394	PMC4109966	fulltexts/PMC4109966.xml
ITHANET	37359188	PMC10289560	fulltexts/PMC10289560.xml
ITHANET	36555557	PMC9782104	fulltexts/PMC9782104.xml
ITHANET	36453528	PMC9731569	fulltexts/PMC9731569.xml
ITHANET	31717530	PMC6912721	fulltexts/PMC6912721.xml
Fiji	31763187	PMC6861648	fulltexts/PMC6861648.xml
BCFtools	19505943	PMC2723002	fulltexts/PMC2723002.xml
BCFtools	33590861	PMC7931819	fulltexts/PMC7931819.xml
SAMtools	19505943	PMC2723002	fulltexts/PMC2723002.xml
SAMtools	33590861	PMC7931819	fulltexts/PMC7931819.xml
HTSlib	33594436	PMC7931820	fulltexts/PMC7931820.xml
Sirius	NA	PMC2639009	fulltexts/PMC2639009.xml
AluMine	31360240	PMC6639938	fulltexts/PMC6639938.xml
cytoviewer	38172724	PMC10765786	fulltexts/PMC10765786.xml
ARTEM	NA	PMC10484739	fulltexts/PMC10484739.xml
REPET	24786468	PMC4008368	fulltexts/PMC4008368.xml
REPET	21304975	PMC3031573	fulltexts/PMC3031573.xml
REPET	16110336	PMC1185648	fulltexts/PMC1185648.xml
PASTEClassifier	24786468	PMC4008368	fulltexts/PMC4008368.xml
DataDiscovery	NA	PMC5120350	fulltexts/PMC5120350.xml
DataDiscovery	NA	PMC6097284	fulltexts/PMC6097284.xml
SyntenyViewer	37159239	PMC10167986	fulltexts/PMC10167986.xml
Phenotator	NA	PMC4870745	fulltexts/PMC4870745.xml
ADAPTIVE	31510641	PMC6612897	fulltexts/PMC6612897.xml
MarCat	29106641	PMC5753341	fulltexts/PMC5753341.xml
MarRef	29106641	PMC5753341	fulltexts/PMC5753341.xml
MarDB	29106641	PMC5753341	fulltexts/PMC5753341.xml
Marine Metagenomics Portal	29106641	PMC5753341	fulltexts/PMC5753341.xml
Integrated Microbial Genomes (IMG)	19864254	PMC2808961	fulltexts/PMC2808961.xml
Integrated Microbial Genomes (IMG)	22194640	PMC3245086	fulltexts/PMC3245086.xml
iMet-Q	26784691	PMC4718670	fulltexts/PMC4718670.xml
RmsiGUI	34179452	PMC8205298	fulltexts/PMC8205298.xml
i2i	37505508	PMC10413325	fulltexts/PMC10413325.xml
mi-CNN	32657378	PMC7355295	fulltexts/PMC7355295.xml
SpaceM	34226721	PMC7611214	fulltexts/PMC7611214.xml
SPUTNIK	30010780	PMC6298046	fulltexts/PMC6298046.xml
MSIWarp	33317272	PMC7745203	fulltexts/PMC7745203.xml
massPix	28989334	PMC5608769	fulltexts/PMC5608769.xml
PatchDock	15980490	PMC1160241	fulltexts/PMC1160241.xml
WheatIS	NA	PMC6097284	fulltexts/PMC6097284.xml
PSIPRED	23748958	PMC3692098	fulltexts/PMC3692098.xml
Reactome	21067998	PMC3013646	fulltexts/PMC3013646.xml
Reactome	37941124	PMC10767911	fulltexts/PMC10767911.xml
MAGMA	NA	PMC8743552	fulltexts/PMC8743552.xml
APE	NA	PMC7304703	fulltexts/PMC7304703.xml
APE	33720735	PMC8041394	fulltexts/PMC8041394.xml
DISGENET	NA	PMC4397996	fulltexts/PMC4397996.xml
DISGENET	NA	PMC5210640	fulltexts/PMC5210640.xml
DISGENET	NA	PMC4937199	fulltexts/PMC4937199.xml
DISGENET	NA	PMC3114846	fulltexts/PMC3114846.xml
DISGENET	NA	PMC5210640	fulltexts/PMC5210640.xml
DISGENET	NA	PMC7145631	fulltexts/PMC7145631.xml
OpenChrom	20673335	PMC2920884	fulltexts/PMC2920884.xml
MetaboLights	NA	PMC3531110	fulltexts/PMC3531110.xml
Phobius (EBI)	38597606	PMC11223882	fulltexts/PMC11223882.xml
Phobius (EBI)	NA	PMC9252731	fulltexts/PMC9252731.xml
Human Splicing Finder	NA	PMC2685110	fulltexts/PMC2685110.xml
GPMsDB-dbtk	38049850	PMC10696839	fulltexts/PMC10696839.xml
GPMsDB-tk	38049850	PMC10696839	fulltexts/PMC10696839.xml
MacSyFinder	NA	PMC4201578	fulltexts/PMC4201578.xml
KVFinder	NA	PMC4071799	fulltexts/PMC4071799.xml
KVFinder-web	NA	PMC10320092	fulltexts/PMC10320092.xml
pyKVFinder	34930115	PMC8685811	fulltexts/PMC8685811.xml
PsiCLASS	NA	PMC6825223	fulltexts/PMC6825223.xml
PACU	38441926	PMC11077942	fulltexts/PMC11077942.xml
PyBDEI	37703335	PMC10924745	fulltexts/PMC10924745.xml
AntiBP3	NA	PMC10885866	fulltexts/PMC10885866.xml
MRSLpred	NA	PMC10877048	fulltexts/PMC10877048.xml
hmrbase	19589147	PMC2720991	fulltexts/PMC2720991.xml
CDpred	36742312	PMC9893285	fulltexts/PMC9893285.xml
PhageTB	NA	PMC10076811	fulltexts/PMC10076811.xml
CancerLivER	32147717	PMC7061090	fulltexts/PMC7061090.xml
PyChelator	39014298	PMC11253343	fulltexts/PMC11253343.xml
Stitch	38932690	PMC11301774	fulltexts/PMC11301774.xml
RNAscape	38630617	PMC11223802	fulltexts/PMC11223802.xml
StCoExpNet	38622429	PMC11018665	fulltexts/PMC11018665.xml
shinyseg	38598476	PMC11069105	fulltexts/PMC11069105.xml
CITEViz	38566005	PMC10988918	fulltexts/PMC10988918.xml
