name	biotoolsID	pubmedid	pubmedcid	link
Seurat	seurat	34062119	PMC8238499	fulltexts/PMC8238499.xml
anndata	anndata	NA	PMC5802054	fulltexts/PMC5802054.xml
blast_rbh	blast_rbh	NA	PMC2803857	fulltexts/PMC2803857.xml
Bakta	bakta	34739369	PMC8743544	fulltexts/PMC8743544.xml
MUMmer4	mummer4	NA	PMC5802927	fulltexts/PMC5802927.xml
PscanChIP	pscanchip	NA	PMC3692095	fulltexts/PMC3692095.xml
gget	gget	38377393	PMC10927331	fulltexts/PMC10927331.xml
SIBiLS	sibils	32379317	PMC7319474	fulltexts/PMC7319474.xml
Variomes	variomes	35274687	PMC9048643	fulltexts/PMC9048643.xml
RegRNA	regrna	16845041	PMC1538840	fulltexts/PMC1538840.xml
SubtiWiki	subtiwiki	34664671	PMC8728116	fulltexts/PMC8728116.xml
MetaPathways	metapathways	NA	PMC4595896	fulltexts/PMC4595896.xml
MetaPathways	metapathways	NA	PMC3695837	fulltexts/PMC3695837.xml
MZmine	mzmine	16026613	PMC1187873	fulltexts/PMC1187873.xml
iPHoP	iphop	NA	PMC10155999	fulltexts/PMC10155999.xml
SLiM	SLiM_software	NA	PMC6389312	fulltexts/PMC6389312.xml
Jalview	Jalview	NA	PMC2672624	fulltexts/PMC2672624.xml
ITHANET	the_ithanet_portal	25058394	PMC4109966	fulltexts/PMC4109966.xml
ITHANET	the_ithanet_portal	37359188	PMC10289560	fulltexts/PMC10289560.xml
ITHANET	the_ithanet_portal	36555557	PMC9782104	fulltexts/PMC9782104.xml
ITHANET	the_ithanet_portal	36453528	PMC9731569	fulltexts/PMC9731569.xml
ITHANET	the_ithanet_portal	31717530	PMC6912721	fulltexts/PMC6912721.xml
Fiji	Fiji	31763187	PMC6861648	fulltexts/PMC6861648.xml
BCFtools	bcftools	19505943	PMC2723002	fulltexts/PMC2723002.xml
BCFtools	bcftools	33590861	PMC7931819	fulltexts/PMC7931819.xml
SAMtools	samtools	19505943	PMC2723002	fulltexts/PMC2723002.xml
SAMtools	samtools	33590861	PMC7931819	fulltexts/PMC7931819.xml
HTSlib	htslib	33594436	PMC7931820	fulltexts/PMC7931820.xml
Sirius	sirius	NA	PMC2639009	fulltexts/PMC2639009.xml
AluMine	AluMine	31360240	PMC6639938	fulltexts/PMC6639938.xml
cytoviewer	cytoviewer	38172724	PMC10765786	fulltexts/PMC10765786.xml
ARTEM	artem	NA	PMC10484739	fulltexts/PMC10484739.xml
REPET	repet	24786468	PMC4008368	fulltexts/PMC4008368.xml
REPET	repet	21304975	PMC3031573	fulltexts/PMC3031573.xml
REPET	repet	16110336	PMC1185648	fulltexts/PMC1185648.xml
PASTEClassifier	PASTEClassifier	24786468	PMC4008368	fulltexts/PMC4008368.xml
DataDiscovery	DataDiscovery	NA	PMC5120350	fulltexts/PMC5120350.xml
DataDiscovery	DataDiscovery	NA	PMC6097284	fulltexts/PMC6097284.xml
SyntenyViewer	urgi	37159239	PMC10167986	fulltexts/PMC10167986.xml
Phenotator	phenotator	NA	PMC4870745	fulltexts/PMC4870745.xml
ADAPTIVE	ADAPTIVE	31510641	PMC6612897	fulltexts/PMC6612897.xml
MarCat	marcat	29106641	PMC5753341	fulltexts/PMC5753341.xml
MarRef	marref	29106641	PMC5753341	fulltexts/PMC5753341.xml
MarDB	mardb	29106641	PMC5753341	fulltexts/PMC5753341.xml
Marine Metagenomics Portal	mmp	29106641	PMC5753341	fulltexts/PMC5753341.xml
Integrated Microbial Genomes (IMG)	img	19864254	PMC2808961	fulltexts/PMC2808961.xml
Integrated Microbial Genomes (IMG)	img	22194640	PMC3245086	fulltexts/PMC3245086.xml
