name	biotoolsID	pubmedid	pubmedcid	link	EDAM_topics
Seurat	seurat	34062119.0	PMC8238499	fulltexts/PMC8238499.xml	RNA-Seq, Transcriptomics
anndata	anndata		PMC5802054	fulltexts/PMC5802054.xml	
blast_rbh	blast_rbh		PMC2803857	fulltexts/PMC2803857.xml	
Bakta	bakta	34739369.0	PMC8743544	fulltexts/PMC8743544.xml	Genomics, Data submission, annotation and curation, Sequence analysis
MUMmer4	mummer4		PMC5802927	fulltexts/PMC5802927.xml	
PscanChIP	pscanchip		PMC3692095	fulltexts/PMC3692095.xml	Sequence sites, features and motifs
gget	gget	38377393.0	PMC10927331	fulltexts/PMC10927331.xml	Biology, Computational biology, Omics
SIBiLS	sibils	32379317.0	PMC7319474	fulltexts/PMC7319474.xml	Literature and language, Workflows, Bioinformatics, Personalised medicine, Ontology and terminology
Variomes	variomes	35274687.0	PMC9048643	fulltexts/PMC9048643.xml	Mapping, Literature and language, Gene expression, Pathology, Oncology, Rare diseases
RegRNA	regrna	16845041.0	PMC1538840	fulltexts/PMC1538840.xml	Functional, regulatory and non-coding RNA, Gene transcripts, Nucleic acid structure analysis, RNA splicing, Transcription factors and regulatory sites
SubtiWiki	subtiwiki	34664671.0	PMC8728116	fulltexts/PMC8728116.xml	Molecular interactions, pathways and networks, Gene expression, Model organisms, Endocrinology and metabolism, Phylogenetics
MetaPathways	metapathways		PMC4595896	fulltexts/PMC4595896.xml	Metagenomics, Microbial ecology, Population genomics
MetaPathways	metapathways		PMC3695837	fulltexts/PMC3695837.xml	Metagenomics, Microbial ecology, Population genomics
MZmine	mzmine	16026613.0	PMC1187873	fulltexts/PMC1187873.xml	Proteomics, Metabolomics, Proteomics experiment, Small molecules
iPHoP	iphop		PMC10155999	fulltexts/PMC10155999.xml	
SLiM	SLiM_software		PMC6389312	fulltexts/PMC6389312.xml	Ecology, Molecular interactions, pathways and networks, Genetic variation, Evolutionary biology
Jalview	Jalview		PMC2672624	fulltexts/PMC2672624.xml	Sequence analysis, Data visualisation
ITHANET	the_ithanet_portal	25058394.0	PMC4109966	fulltexts/PMC4109966.xml	Genetic variation, Genotype and phenotype, Public health and epidemiology, Haematology, Computational biology, Human genetics, Molecular genetics, Population genetics, Genetics, Molecular biology, Biomarkers, Data visualisation, Database management, Rare diseases
ITHANET	the_ithanet_portal	37359188.0	PMC10289560	fulltexts/PMC10289560.xml	Genetic variation, Genotype and phenotype, Public health and epidemiology, Haematology, Computational biology, Human genetics, Molecular genetics, Population genetics, Genetics, Molecular biology, Biomarkers, Data visualisation, Database management, Rare diseases
ITHANET	the_ithanet_portal	36555557.0	PMC9782104	fulltexts/PMC9782104.xml	Genetic variation, Genotype and phenotype, Public health and epidemiology, Haematology, Computational biology, Human genetics, Molecular genetics, Population genetics, Genetics, Molecular biology, Biomarkers, Data visualisation, Database management, Rare diseases
