PMCID,Sentence,NER_Tags,Topics
PMC11286849,"The identified proteins also included 52 (70%) of the 79 proteins previously annotated as ""sporulation proteins"" in the SubtiWiki database and found in direct protein analysis (marked in yellow in the Supplementary Table S4).","(120, 129, 'SubtiWiki', 'subtiwiki')","Molecular interactions, pathways and networks, Gene expression, Model organisms, Endocrinology and metabolism, Phylogenetics"
PMC11286849,The localization of 52 of these 445 proteins in spores is listed in the SubtiWiki database (Supplementary Table S5).,"(72, 81, 'SubtiWiki', 'subtiwiki')","Molecular interactions, pathways and networks, Gene expression, Model organisms, Endocrinology and metabolism, Phylogenetics"
PMC11286849,The 445 identified proteins were searched against the SubtiWiki and UniProt B.,"(54, 63, 'SubtiWiki', 'subtiwiki')","Molecular interactions, pathways and networks, Gene expression, Model organisms, Endocrinology and metabolism, Phylogenetics"
PMC11458576,Putative nucleases were identified by searching Subtiwiki functional annotations.,"(48, 57, 'SubtiWiki', 'subtiwiki')","Molecular interactions, pathways and networks, Gene expression, Model organisms, Endocrinology and metabolism, Phylogenetics"
PMC11458576,Functional Enrichment Analysis (FEA) was performed using Subtiwiki functional categories.,"(57, 66, 'SubtiWiki', 'subtiwiki')","Molecular interactions, pathways and networks, Gene expression, Model organisms, Endocrinology and metabolism, Phylogenetics"
PMC11458576,subtilis secretome as annotated in the Subtiwiki knowledgebase (Supplementary Fig.,"(39, 48, 'SubtiWiki', 'subtiwiki')","Molecular interactions, pathways and networks, Gene expression, Model organisms, Endocrinology and metabolism, Phylogenetics"
PMC11092163,"At present, neither GenBank annotation files nor species-specific genome browsers, such as the BsubCyc database [32], SubtiWiki [33], AureoWiki [34], or EcoCyc [35], are updated with the single-nucleotide resolution transcription data that is publicly available.","(118, 127, 'SubtiWiki', 'subtiwiki')","Molecular interactions, pathways and networks, Gene expression, Model organisms, Endocrinology and metabolism, Phylogenetics"
PMC11092163,"aureus), a single annotation file was made for comparison by pooling the annotations that are available from GenBank with the annotations provided by SubtiWiki, EcoCyc, and AureoWiki, respectively, in order to encompass as many known annotations as possible.","(150, 159, 'SubtiWiki', 'subtiwiki')","Molecular interactions, pathways and networks, Gene expression, Model organisms, Endocrinology and metabolism, Phylogenetics"
PMC11092163,"Comprehensive Rend-seq annotation files supplied from publicly available databases (SubtiWiki [33], EcoCyc [35], and AureoWiki [34]) and NCBI GenBank files for B.","(84, 93, 'SubtiWiki', 'subtiwiki')","Molecular interactions, pathways and networks, Gene expression, Model organisms, Endocrinology and metabolism, Phylogenetics"
PMC10832249,One limitation of the CAMI ePGDB as a benchmark is that it is automatically generated using MetaPathways but the predictions have not been curated so it can be said that the results demonstrate more how similar the other prediction methods are with MetaPathways and PathoLogic than their actual prediction performance.,"(249, 261, 'MetaPathways', 'metapathways')","Metagenomics, Microbial ecology, Population genomics"
PMC10832249,One limitation of the CAMI ePGDB as a benchmark is that it is automatically generated using MetaPathways but the predictions have not been curated so it can be said that the results demonstrate more how similar the other prediction methods are with MetaPathways and PathoLogic than their actual prediction performance.,"(92, 104, 'MetaPathways', 'metapathways')","Metagenomics, Microbial ecology, Population genomics"
PMC10832249,PathoLogic was not included in the comparison since MetaPathways uses it to create the ePGDB.,"(52, 64, 'MetaPathways', 'metapathways')","Metagenomics, Microbial ecology, Population genomics"
PMC10832249,MetaPathways v2.5 [37] was used to create the benchmark CAMI environment PGDB (ePGDB) which are PGDBs for microbial communities [38].,"(0, 12, 'MetaPathways', 'metapathways')","Metagenomics, Microbial ecology, Population genomics"
PMC9671002,"Annotation files from the ATLAS (3) and MetaPathways (18, 19) pipelines described above are available at https://doi.org/10.6084/m9.figshare.21126166.","(40, 52, 'MetaPathways', 'metapathways')","Metagenomics, Microbial ecology, Population genomics"
PMC9671002,"In brief, MetaPathways was used for open reading frame (ORF) prediction and annotation, using MetaCyc (2020-08-10) (20, 21), CAZy (2020-06-01) (22), RefSeq-NR (2020-08-12-rel-201) (23), and UniProt Sprout (2020-08-12) databases (24).","(10, 22, 'MetaPathways', 'metapathways')","Metagenomics, Microbial ecology, Population genomics"
PMC9671002,"The genome was also analyzed and annotated with an alternative pipeline, Metapathways (18, 19) (v2.5), and all statistics and annotations reported here were output from the MetaPathways pipeline.","(173, 185, 'MetaPathways', 'metapathways')","Metagenomics, Microbial ecology, Population genomics"
PMC9671002,"The genome was also analyzed and annotated with an alternative pipeline, Metapathways (18, 19) (v2.5), and all statistics and annotations reported here were output from the MetaPathways pipeline.","(73, 85, 'MetaPathways', 'metapathways')","Metagenomics, Microbial ecology, Population genomics"
PMC9583782,"The ORFs were annotated using MetaPathways v2.5 with default settings (24, 25).","(30, 42, 'MetaPathways', 'metapathways')","Metagenomics, Microbial ecology, Population genomics"
PMC11045623,"MZmine 2.51 was used in this comparison, although a newer version MZmine 3 has been launched during the preparation of the present study.","(66, 72, 'MZmine', 'mzmine')","Proteomics, Metabolomics, Proteomics experiment, Small molecules"
PMC11045623,"MZmine 2.51 was used in this comparison, although a newer version MZmine 3 has been launched during the preparation of the present study.","(0, 6, 'MZmine', 'mzmine')","Proteomics, Metabolomics, Proteomics experiment, Small molecules"
PMC11045623,"The peak annotation was compared by calculating the fractions of false positives (FP), false negatives (FN), true positives (TP), and true negatives (TN) of all observations n for MZmine and ATS compared to the manual evaluation in TraceFinder.","(180, 186, 'MZmine', 'mzmine')","Proteomics, Metabolomics, Proteomics experiment, Small molecules"
PMC11045623,"For the MZmine analysis of the GC dataset, two sets of retention times were used, (i) a list with retention times as used by ATS with shifts in the range of −1.1 to −0.9 min simulating the case of shifted and not optimized analysis conditions and (ii) the same list of analytes but with exact, shift-corrected retention times as used with TF.","(8, 14, 'MZmine', 'mzmine')","Proteomics, Metabolomics, Proteomics experiment, Small molecules"
PMC11205428,"For comparison, the new datasets for the 26 urine specimens diluted either to 2.0 or 6.5 mM creatinine were analyzed with both CF4 and with MZmine.","(140, 146, 'MZmine', 'mzmine')","Proteomics, Metabolomics, Proteomics experiment, Small molecules"
PMC11205428,"For comparison, the corresponding coefficients from analyzing the same samples in MZmine are given.","(82, 88, 'MZmine', 'mzmine')","Proteomics, Metabolomics, Proteomics experiment, Small molecules"
PMC11205428,"CF4 calculates the complete ratio between the sum of natural abundance isotopologues and the sum of 95% 13C isotopologues, in contrast to considering only the monoisotopic peak in each envelope of isotopologues when using MZmine.","(222, 228, 'MZmine', 'mzmine')","Proteomics, Metabolomics, Proteomics experiment, Small molecules"
PMC11402778,"Once data preprocessing and MS 1 annotation using MZmine was done, the molecular network was generated.","(50, 56, 'MZmine', 'mzmine')","Proteomics, Metabolomics, Proteomics experiment, Small molecules"
