PMCID,Sentence,NER_Tags,Topics
PMC11484811,"Nonetheless, we were able to identify comparable cell populations in Flex and 3’ data following Seurat CCA integration (Fig.","(96, 102, 'Seurat', 'seurat')","RNA-Seq, Transcriptomics"
PMC11484811,Differential gene expression analysis was conducted between the annotated cell types on a per-sample basis with the “FindAllMarkers” function in the Seurat package.,"(149, 155, 'Seurat', 'seurat')","RNA-Seq, Transcriptomics"
PMC11484811,f UMAP embedding of Seurat CCA integrated snRNA-seq data from patient 4411 annotated by cell type.,"(20, 26, 'Seurat', 'seurat')","RNA-Seq, Transcriptomics"
PMC11302586,"To test this observation, we compared the performance of label transfer between SIRV, Seurat (CCA + MNN) (22) and Tangram (48), where the latter is reported as the top performing integration method for spatial and scRNA-seq data (25).","(86, 92, 'Seurat', 'seurat')","RNA-Seq, Transcriptomics"
PMC11302586,"However, SIRV ranked last in terms of batch LISI (optimal is 2) of 1.28 compared to 1.38 and 1.37 for Harmony and Seurat, respectively.","(114, 120, 'Seurat', 'seurat')","RNA-Seq, Transcriptomics"
PMC11302586,SIRV integration was comparable to Harmony and Seurat.,"(47, 53, 'Seurat', 'seurat')","RNA-Seq, Transcriptomics"
PMC11222513,"After integration, cell types can be identified with the RNA modality and the joint clustering of Seurat WNN or MOFA + .Users can visualize specific genes and proteins in the joint UMAP.","(98, 104, 'Seurat', 'seurat')","RNA-Seq, Transcriptomics"
PMC11222513,"Users can employ two different methods, Seurat and GraphST, to integrate spatial data with scRNA-seq reference data to annotate or deconvolute the cell types present in the spatial data.","(40, 46, 'Seurat', 'seurat')","RNA-Seq, Transcriptomics"
PMC11472622,"We will convert the h5ad file to rds file and read it into a Seurat object.>pathology <- sc$read_h5ad(""[pathology_adata].h5ad"")>convertFormat(""[pathology_adata].h5ad"", from=""anndata"", to=""seurat"", outFile='[pathology_adata].rds')>[data] <- readRDS(""[pathology_adata].rds"")i.UMAP.>[data] <- ScaleData([data])>[data] <- RunPCA([data])>[data] <- RunUMAP([data], dims = 1:10)>p21 <- DimPlot([data],reduction = ""umap"", group.by = [feature_for_group], pt.size = 0.4) >p21+theme(axis.text = element_blank(), axis.ticks = element_blank(), axis.line = element_blank(), panel.border = element_rect(colour = ""black""), legend.position = c(0.01,0.95), legend.spacing.x = unit(0.1, 'cm'))+ labs(title = ""[data]"",x=""UMAP1"",y=""UMAP2"")ii.Heatmap.Here, we use the metadata from the original data for plotting.>library(reshape2)>clinical <- read.csv(""[meta_data.csv]"",header = T)>clinical$cogn_global_lv <- -clinical$cogn_global_lv>clinical_norm <- clinical>clinical_norm[,-c(1,9)] <- scale(clinical[,-c(1,9)])>clinical_norm$id <- 1:48>clinical_norm <- clinical_norm[,-c(1,9)]>colnames(clinical_norm)[c(1,3,4)] <- c(""Amyloid"",""NFT"",""Tangles"")>clinical_norm_stack <- melt(clinical_norm,id.vars = ""id"")>ggplot(clinical_norm_stack, aes(x = id, y = variable, fill = value)) + geom_tile() + scale_fill_gradient(low = ""white"", high = ""#0073B1"")+ geom_rect(aes(xmin=0.5,xmax=24.45,ymin=0.5,ymax=7.5), col=""#D4A2BE"",alpha=0,)+ geom_rect(aes(xmin=24.55,xmax=39.47,ymin=0.5,ymax=7.5), col=""#226089"",alpha=0)+ geom_rect(aes(xmin=39.53,xmax=48.46,ymin=0.5,ymax=7.5), col=""#900C27"",alpha=0)+ theme_classic()+ theme(axis.text = element_blank(), axis.ticks = element_blank(),a xis.line = element_blank(), axis.title = element_blank(), panel.border = element_blank(), legend.position = ""bottom"", legend.title = element_blank(), legend.text = element_text(size = 20), legend.key.size=unit(1.8, ""cm""))+ coord_flip()>ggsave(""heatmap.pdf"",width = 4,height = 24)Where the file Clinico-pathology.csv is a file containing annotation information for each sample, which can be downloaded from our supplemental information (Figure 2).Figure 2Overview of dataset(A) Clinic-pathological variables (columns) of 48 individuals (rows).","(174, 181, 'anndata', 'anndata')",
PMC11472622,"If you encounter any issues during installation, please refer to troubleshooting 3.Note: To convert the Python h5ad data format into a format that R can handle, we first set up a Python environment in R.>library(sceasy)>library(Seurat)>library(reticulate)>use_condaenv(""[my_env]"", required=TRUE)>sc <- import(""scanpy"", convert = FALSE)Note: Where my_env is a virtual environment created using Anaconda, with all required Python packages installed.c.We will convert the h5ad file to rds file and read it into a Seurat object.>pathology <- sc$read_h5ad(""[pathology_adata].h5ad"")>convertFormat(""[pathology_adata].h5ad"", from=""anndata"", to=""seurat"", outFile='[pathology_adata].rds')>[data] <- readRDS(""[pathology_adata].rds"")i.UMAP.>[data] <- ScaleData([data])>[data] <- RunPCA([data])>[data] <- RunUMAP([data], dims = 1:10)>p21 <- DimPlot([data],reduction = ""umap"", group.by = [feature_for_group], pt.size = 0.4) >p21+theme(axis.text = element_blank(), axis.ticks = element_blank(), axis.line = element_blank(), panel.border = element_rect(colour = ""black""), legend.position = c(0.01,0.95), legend.spacing.x = unit(0.1, 'cm'))+ labs(title = ""[data]"",x=""UMAP1"",y=""UMAP2"")ii.Heatmap.Here, we use the metadata from the original data for plotting.>library(reshape2)>clinical <- read.csv(""[meta_data.csv]"",header = T)>clinical$cogn_global_lv <- -clinical$cogn_global_lv>clinical_norm <- clinical>clinical_norm[,-c(1,9)] <- scale(clinical[,-c(1,9)])>clinical_norm$id <- 1:48>clinical_norm <- clinical_norm[,-c(1,9)]>colnames(clinical_norm)[c(1,3,4)] <- c(""Amyloid"",""NFT"",""Tangles"")>clinical_norm_stack <- melt(clinical_norm,id.vars = ""id"")>ggplot(clinical_norm_stack, aes(x = id, y = variable, fill = value)) + geom_tile() + scale_fill_gradient(low = ""white"", high = ""#0073B1"")+ geom_rect(aes(xmin=0.5,xmax=24.45,ymin=0.5,ymax=7.5), col=""#D4A2BE"",alpha=0,)+ geom_rect(aes(xmin=24.55,xmax=39.47,ymin=0.5,ymax=7.5), col=""#226089"",alpha=0)+ geom_rect(aes(xmin=39.53,xmax=48.46,ymin=0.5,ymax=7.5), col=""#900C27"",alpha=0)+ theme_classic()+ theme(axis.text = element_blank(), axis.ticks = element_blank(),a xis.line = element_blank(), axis.title = element_blank(), panel.border = element_blank(), legend.position = ""bottom"", legend.title = element_blank(), legend.text = element_text(size = 20), legend.key.size=unit(1.8, ""cm""))+ coord_flip()>ggsave(""heatmap.pdf"",width = 4,height = 24)Where the file Clinico-pathology.csv is a file containing annotation information for each sample, which can be downloaded from our supplemental information (Figure 2).Figure 2Overview of dataset(A) Clinic-pathological variables (columns) of 48 individuals (rows).","(623, 630, 'anndata', 'anndata')",
