PMCID,NER_Tags,Sentence
PMC11286849,"[(233, 242, 'SubtiWiki', 'subtiwiki'), (54, 63, 'SubtiWiki', 'subtiwiki'), (120, 129, 'SubtiWiki', 'subtiwiki'), (72, 81, 'SubtiWiki', 'subtiwiki')]","Using this technique, we identified 445 proteins with high confidence from trace amounts of highly pure spore preparations, including 52 of the 79 proteins (approximately 70%) previously demonstrated to be localized in spores in the SubtiWiki database and detected through direct protein analysis. The 445 identified proteins were searched against the SubtiWiki and UniProt B. The identified proteins also included 52 (70%) of the 79 proteins previously annotated as ""sporulation proteins"" in the SubtiWiki database and found in direct protein analysis (marked in yellow in the Supplementary Table S4). The localization of 52 of these 445 proteins in spores is listed in the SubtiWiki database (Supplementary Table S5)."
PMC11286849,"[(233, 242, 'SubtiWiki', 'subtiwiki'), (54, 63, 'SubtiWiki', 'subtiwiki'), (120, 129, 'SubtiWiki', 'subtiwiki'), (72, 81, 'SubtiWiki', 'subtiwiki')]","Using this technique, we identified 445 proteins with high confidence from trace amounts of highly pure spore preparations, including 52 of the 79 proteins (approximately 70%) previously demonstrated to be localized in spores in the SubtiWiki database and detected through direct protein analysis. The 445 identified proteins were searched against the SubtiWiki and UniProt B. The identified proteins also included 52 (70%) of the 79 proteins previously annotated as ""sporulation proteins"" in the SubtiWiki database and found in direct protein analysis (marked in yellow in the Supplementary Table S4). The localization of 52 of these 445 proteins in spores is listed in the SubtiWiki database (Supplementary Table S5)."
PMC11286849,"[(233, 242, 'SubtiWiki', 'subtiwiki'), (54, 63, 'SubtiWiki', 'subtiwiki'), (120, 129, 'SubtiWiki', 'subtiwiki'), (72, 81, 'SubtiWiki', 'subtiwiki')]","Using this technique, we identified 445 proteins with high confidence from trace amounts of highly pure spore preparations, including 52 of the 79 proteins (approximately 70%) previously demonstrated to be localized in spores in the SubtiWiki database and detected through direct protein analysis. The 445 identified proteins were searched against the SubtiWiki and UniProt B. The identified proteins also included 52 (70%) of the 79 proteins previously annotated as ""sporulation proteins"" in the SubtiWiki database and found in direct protein analysis (marked in yellow in the Supplementary Table S4). The localization of 52 of these 445 proteins in spores is listed in the SubtiWiki database (Supplementary Table S5)."
PMC11286849,"[(233, 242, 'SubtiWiki', 'subtiwiki'), (54, 63, 'SubtiWiki', 'subtiwiki'), (120, 129, 'SubtiWiki', 'subtiwiki'), (72, 81, 'SubtiWiki', 'subtiwiki')]","Using this technique, we identified 445 proteins with high confidence from trace amounts of highly pure spore preparations, including 52 of the 79 proteins (approximately 70%) previously demonstrated to be localized in spores in the SubtiWiki database and detected through direct protein analysis. The 445 identified proteins were searched against the SubtiWiki and UniProt B. The identified proteins also included 52 (70%) of the 79 proteins previously annotated as ""sporulation proteins"" in the SubtiWiki database and found in direct protein analysis (marked in yellow in the Supplementary Table S4). The localization of 52 of these 445 proteins in spores is listed in the SubtiWiki database (Supplementary Table S5)."
PMC10832249,"[(0, 12, 'MetaPathways', 'metapathways'), (0, 12, 'MetaPathways', 'metapathways'), (52, 64, 'MetaPathways', 'metapathways'), (92, 104, 'MetaPathways', 'metapathways')]",MetaPathways v2.5 [37] was used to create the benchmark CAMI environment PGDB (ePGDB) which are PGDBs for microbial communities [38]. MetaPathways utilizes a modified version of PathoLogic for pathway prediction. PathoLogic was not included in the comparison since MetaPathways uses it to create the ePGDB. One limitation of the CAMI ePGDB as a benchmark is that it is automatically generated using MetaPathways but the predictions have not been curated so it can be said that the results demonstrate more how similar the other prediction methods are with MetaPathways and PathoLogic than their actual prediction performance.
PMC10832249,"[(0, 12, 'MetaPathways', 'metapathways'), (0, 12, 'MetaPathways', 'metapathways'), (52, 64, 'MetaPathways', 'metapathways'), (92, 104, 'MetaPathways', 'metapathways')]",MetaPathways v2.5 [37] was used to create the benchmark CAMI environment PGDB (ePGDB) which are PGDBs for microbial communities [38]. MetaPathways utilizes a modified version of PathoLogic for pathway prediction. PathoLogic was not included in the comparison since MetaPathways uses it to create the ePGDB. One limitation of the CAMI ePGDB as a benchmark is that it is automatically generated using MetaPathways but the predictions have not been curated so it can be said that the results demonstrate more how similar the other prediction methods are with MetaPathways and PathoLogic than their actual prediction performance.
PMC10832249,"[(0, 12, 'MetaPathways', 'metapathways'), (0, 12, 'MetaPathways', 'metapathways'), (52, 64, 'MetaPathways', 'metapathways'), (92, 104, 'MetaPathways', 'metapathways')]",MetaPathways v2.5 [37] was used to create the benchmark CAMI environment PGDB (ePGDB) which are PGDBs for microbial communities [38]. MetaPathways utilizes a modified version of PathoLogic for pathway prediction. PathoLogic was not included in the comparison since MetaPathways uses it to create the ePGDB. One limitation of the CAMI ePGDB as a benchmark is that it is automatically generated using MetaPathways but the predictions have not been curated so it can be said that the results demonstrate more how similar the other prediction methods are with MetaPathways and PathoLogic than their actual prediction performance.
PMC10832249,"[(0, 12, 'MetaPathways', 'metapathways'), (0, 12, 'MetaPathways', 'metapathways'), (52, 64, 'MetaPathways', 'metapathways'), (92, 104, 'MetaPathways', 'metapathways')]",MetaPathways v2.5 [37] was used to create the benchmark CAMI environment PGDB (ePGDB) which are PGDBs for microbial communities [38]. MetaPathways utilizes a modified version of PathoLogic for pathway prediction. PathoLogic was not included in the comparison since MetaPathways uses it to create the ePGDB. One limitation of the CAMI ePGDB as a benchmark is that it is automatically generated using MetaPathways but the predictions have not been curated so it can be said that the results demonstrate more how similar the other prediction methods are with MetaPathways and PathoLogic than their actual prediction performance.
PMC11045623,"[(239, 245, 'MZmine', 'mzmine'), (113, 119, 'MZmine', 'mzmine'), (101, 107, 'MZmine', 'mzmine'), (27, 33, 'MZmine', 'mzmine'), (0, 6, 'MZmine', 'mzmine'), (0, 6, 'MZmine', 'mzmine'), (3, 9, 'MZmine', 'mzmine'), (72, 78, 'MZmine', 'mzmine'), (66, 72, 'MZmine', 'mzmine'), (173, 179, 'MZmine', 'mzmine'), (180, 186, 'MZmine', 'mzmine'), (63, 69, 'MZmine', 'mzmine')]","We used Orbitrap HRMS data of surface water extracts to compare the Automated Target Screening (ATS) workflow with data evaluations performed with the vendor software TraceFinder and the established semi-automated analysis workflow in the MZmine software. The ATS approach increased the overall evaluation performance of the peak annotation compared to the established MZmine module without the need for any post-hoc corrections. The need for higher throughput data processing in NTS and SS led to the creation of software such as MZmine, which has been used for partially or fully automatic data processing including smoothing, spectra deconvolution, peak detections, and gap filling with sufficient throughput [12, 13]. In addition to NTS and SS, MZmine can also be used to perform targeted analysis by incorporating user-defined lists of target features and retention times to annotate peaks. MZmine (version 2.51) was used for comparing the peak annotation performance of ATS to a sophisticated (semi-)automated analysis workflow. MZmine 2.51 was used in this comparison, although a newer version MZmine 3 has been launched during the preparation of the present study. As MZmine 3 still uses the same peak detection algorithms, we consider that the results using the older version are comparable [15]. The details regarding sample extraction and settings of TraceFinder and MZmine can be accessed from Text S1 to Text S3 in Supporting Information S1. These “CHECK” cases are similar to the peak status “ESTIMATED” in MZmine. Compounds were selected for peak annotation performance comparison if they had at least one annotated response in one of the three evaluation workflows TraceFinder, ATS, or MZmine. The peak annotation was compared by calculating the fractions of false positives (FP), false negatives (FN), true positives (TP), and true negatives (TN) of all observations n for MZmine and ATS compared to the manual evaluation in TraceFinder. Only features with the “DETECTED” peak status were included in MZmine."
PMC11045623,"[(239, 245, 'MZmine', 'mzmine'), (113, 119, 'MZmine', 'mzmine'), (101, 107, 'MZmine', 'mzmine'), (27, 33, 'MZmine', 'mzmine'), (0, 6, 'MZmine', 'mzmine'), (0, 6, 'MZmine', 'mzmine'), (3, 9, 'MZmine', 'mzmine'), (72, 78, 'MZmine', 'mzmine'), (66, 72, 'MZmine', 'mzmine'), (173, 179, 'MZmine', 'mzmine'), (180, 186, 'MZmine', 'mzmine'), (63, 69, 'MZmine', 'mzmine')]","We used Orbitrap HRMS data of surface water extracts to compare the Automated Target Screening (ATS) workflow with data evaluations performed with the vendor software TraceFinder and the established semi-automated analysis workflow in the MZmine software. The ATS approach increased the overall evaluation performance of the peak annotation compared to the established MZmine module without the need for any post-hoc corrections. The need for higher throughput data processing in NTS and SS led to the creation of software such as MZmine, which has been used for partially or fully automatic data processing including smoothing, spectra deconvolution, peak detections, and gap filling with sufficient throughput [12, 13]. In addition to NTS and SS, MZmine can also be used to perform targeted analysis by incorporating user-defined lists of target features and retention times to annotate peaks. MZmine (version 2.51) was used for comparing the peak annotation performance of ATS to a sophisticated (semi-)automated analysis workflow. MZmine 2.51 was used in this comparison, although a newer version MZmine 3 has been launched during the preparation of the present study. As MZmine 3 still uses the same peak detection algorithms, we consider that the results using the older version are comparable [15]. The details regarding sample extraction and settings of TraceFinder and MZmine can be accessed from Text S1 to Text S3 in Supporting Information S1. These “CHECK” cases are similar to the peak status “ESTIMATED” in MZmine. Compounds were selected for peak annotation performance comparison if they had at least one annotated response in one of the three evaluation workflows TraceFinder, ATS, or MZmine. The peak annotation was compared by calculating the fractions of false positives (FP), false negatives (FN), true positives (TP), and true negatives (TN) of all observations n for MZmine and ATS compared to the manual evaluation in TraceFinder. Only features with the “DETECTED” peak status were included in MZmine."
