biotoolsID	Cites
mega	106319
clustal2	72439
clustalw	60277
blast	51869
psi-blast	43326
psi-blast_rest	42327
deseq2	40871
samtools	39792
bcftools	36473
gsea	35612
coot	34913
bwa	33761
mrbayes	33629
bam_to_sam_parallel	33607
bcf-tools-cat	33607
bcf-tools-index	33607
sam_to_bam	33607
samtools_flagstat	33607
samtools_idxstats	33607
samtools_slice_bam	33607
samtools_sort	33607
pysam	32579
structure	29670
flexgsea	29493
Fiji	28254
mbwa_wrapper	27790
bowtie2	27746
muscle	27435
kegg	25964
edger	25758
go_enrichment_tool	24821
star	24692
imagej	24644
imagej_nih	24644
MAFFT	24593
cytoscape	24501
chimera	24376
muscle_ebi	23822
swiss_model	23511
hgv_david	23389
berkeley_phylogenomics_group	22922
redcap	22549
raxml	22138
phyml	21132
1000genomes	20309
phenix	20130
mafft_ebi	19536
gplink	19335
plink	19335
pdb	19207
wincoot	19007
limma	18928
cBioportal	18899
silva	18838
silvangs	18264
shelx	17751
simple_phylogeny_ebi	17307
clustalw2_ebi	17261
clustalw2_phylogeny_ebi	17261
uniprot	17260
tophat2	16742
qiime	16581
estimate-ldl-cholesterol	16519
ClustalW2_Phylogeny_API_EBI	16308
clustalw_biolib	16308
rmaexpress	16072
clusterprofiler	15737
bedtools_bamtobed	14877
bedtools_coveragebed_counts	14877
bedtools_mergebedgraph	14877
bedtools_multiintersectbed	14877
gatk	14756
metaspades	14299
plasmidspades	14299
rnaspades	14299
gromacs	14077
trinity	13968
molprobity	13946
rtanalyzer	13935
bedtools	13849
refmac	13838
bowtie	13587
spades	13271
hisat2	13259
igv	13252
ucsc_genome_browser	13229
alphafold_2	12889
hydrophobicity	12856
phaser	12845
beast	12833
cufflinks	12760
fasta	12612
htseqcount	12604
modeller	12386
featurecounts	11861
cd-hit	11858
crosslinkwgcna	11745
wgcna	11745
htseq	11576
cnssolve	11405
paml	11222
autodock_vina	11065
dada2	10691
haploview	10430
pximage	10410
pxsim	10410
blast_ebi	10343
cuffcompare	10150
cuffdiff	10150
bioconductor	10123
polyphen-2	10111
mothur	9971
macs	9951
modeltest	9854
iqtree	9703
fasttree	9647
refseq	9590
meme_suite	9572
deseq	9402
pfam	9380
reference-gene-selection	9226
epidish	9194
busco	9149
clustalo	9140
xds	9132
blast2go	8997
ncbi_geo	8831
annovar	8779
dssp	8748
maxquant	8630
prokka	8548
trnascan-se	8548
geneious	8540
polyphen	8485
int_hapmap_project	8374
itol	8371
GENCODE	8251
fastp	8201
smart	8120
cdd	8099
phyre	8090
erange	8064
mfold	7998
annovar_summarize	7994
tophat	7926
i-tasser	7918
gatk_haplotype_caller	7917
gatk_indel_realigner	7917
gatk_print_reads	7917
gatk_unified_genotyper	7917
gatk_validate_variants	7917
gatk_variant_apply_recalibration	7917
gatk_variant_combine	7917
gatk_variant_eval	7917
gatk_variant_filtration	7917
hmmer3	7885
proteinatlas	7879
gblocks	7859
weblogo	7772
weblogo_3	7772
vcf_consensus	7771
vcf_remove_filtered	7771
vcf_substract	7771
tmhmm	7715
autodock	7661
phyloseq	7641
cummerbund	7543
differential_rna-seq_pipeline	7543
qiime2	7372
david_bioinformatics_resources	7210
snptest	7186
interpro	6991
rast	6991
theseed	6991
CIBERSORT	6926
swiss-pdbviewer	6910
bwa-sw	6871
ccp4	6765
gsva	6744
vcftools	6743
meme_meme	6362
Metascape	6227
arlequin	6214
snpeff	6200
ncbi_resources	6192
pdbepisa	6191
pisa	6191
CHARMM-GUI	6102
velvet	6102
psipred	6099
gnomad	6047
flash	5908
jaspar	5891
circos	5861
chimerax	5856
FASTA_API_EBI	5811
string	5737
cadd_phred	5715
emboss	5581
Jalview	5542
scop	5530
gepia	5493
blat	5428
signalp	5421
phusion	5411
minimap2	5371
stringtie	5347
seurat	5211
diamond	5193
interproscan_4	5143
interproscan_ebi	5143
