Match	Count	Cites
or	14973	10
use	13500	0
most	13381	33
R	11607	0
model	10854	66
tools	10802	0
J	10384	26
input	10266	17
gene	10198	3
process	9724	1901
show	9684	0
structure	9548	29604
made	9401	0
source	9066	257
interest	8819	16
best	8347	34
quality	7726	100
help	7713	1901
sample	7711	5
code	7573	1
prediction	7563	1
able	7380	1
find	7340	1
score	6985	82
Gene	6450	3
project	6337	0
steps	6199	68
means	6047	7
must	5966	34
give	5936	12
last	5884	45
distinct	5715	0
fast	5679	21
pairs	5570	11
impact	5536	2
reduce	5532	36
focus	5523	51
table	5437	0
RNA	5398	24
genomes	5381	1901
detect	5246	24
cancer	5192	1901
robust	5181	10
effective	5057	71
space	5037	761
acid	5034	15
plot	4961	1028
text	4851	0
pair	4801	43
response	4732	1
base	4692	35
real	4660	0
basic	4612	134
red	4595	6
vector	4466	9
strong	4369	49
workflow	4361	0
rapid	4360	29
Q	4156	14
almost	4120	20
power	4087	20
filter	4061	191
diseases	4043	276
overlap	4027	0
capture	3993	0
targets	3989	50
signal	3986	5
normal	3954	21
exact	3950	8
match	3920	731
graph	3894	1901
extract	3838	20
deep	3811	2
parallel	3808	0
links	3788	116
r	3779	0
blue	3656	43
reveal	3649	7
pathway	3639	78
j	3612	26
enrichment	3575	426
aim	3448	22
variant	3429	29
count	3388	0
guide	3317	5
great	3259	2759
organisms	3223	80
sampling	3221	0
density	3183	0
speed	3176	39
consensus	3147	9
image	2950	205
tissues	2789	52
near	2765	14
aims	2754	94
consent	2753	6
depth	2670	123
RNA-seq	2625	0
past	2597	17
gap	2565	25
precise	2508	4
assign	2479	20
Structure	2448	29604
examine	2345	3
bar	2332	32
phase	2312	2288
curves	2305	142
mass	2305	27
category	2297	1901
bp	2268	2
metabolic	2268	0
shape	2209	0
annotate	2203	1901
BLAST	2170	51664
Consent	2162	6
edge	2154	184
cycle	2098	24
path	2082	0
FASTA	2079	12598
discover	2073	7
stages	2034	1
vast	2007	562
come	1946	58
brain	1938	23
proper	1911	64
locus	1900	0
scope	1900	156
Plant	1866	0
Gene Ontology	1866	1730
align	1860	1
enzyme	1851	562
record	1833	167
assist	1784	28
convert	1759	1901
varied	1749	3
UniProt	1735	17196
SNPs	1726	0
predictor	1722	23
Gene Expression	1721	8
lung	1717	8
reach	1698	0
Atlas	1697	5
trend	1692	8
bars	1645	17
signature	1638	11
ideal	1637	60
Ensembl	1633	4287
action	1627	23
simulate	1612	87
expansion	1610	0
ROC	1600	1901
layers	1596	0
sparse	1595	26
act	1565	179
atlas	1538	0
age	1538	63
linkage	1535	1637
Bioconductor	1529	10102
q	1517	14
promoter	1505	187
bind	1452	736
seed	1439	30
Cox	1422	5
huge	1420	48
export	1415	1028
string	1369	5707
PubMed	1357	0
go	1356	414
probe	1339	7
team	1326	4
apparent	1322	5
click	1322	72
hit	1313	159
spread	1258	7
SP	1248	2
alter	1240	159
fusion	1215	12
gold	1202	1237
pass	1200	134
lineage	1195	6
water	1184	0
treat	1177	3
care	1169	6
reproduce	1150	83
draw	1131	2
dependency	1118	83
orange	1116	77
inform	1116	22
biomarker	1105	18
Butler	1100	0
adopt	1095	7
noisy	1088	1101
tag	1087	17
TS	1083	3
matter	1073	1901
partition	1062	4
express	1034	817
alpha	1026	0
recover	1023	0
microRNA	1013	1901
fits	1013	1
prevalence	1008	0
demand	1002	1901
charge	987	0
lot	980	3
prone	952	0
answer	930	3
guidance	927	299
Gene Ontology (GO)	912	414
restrict	907	0
locate	901	46
primer	897	10
relate	889	52
tags	880	0
Lancet	876	0
shotgun	870	0
smooth	862	112
union	846	0
taxa	831	0
schema	827	3
recovery	823	10
bridge	819	45
cohorts	816	0
Holmes	810	13
GWAS	805	0
Pfam	804	9338
compact	796	1
rat	786	11
SAMtools	785	39394
angle	785	52
muscle	771	27366
nested	765	9
trace	765	0
symmetric	759	1
pure	759	7
liquid	759	22
repair	758	21
microbiome	752	233
Mendelian	752	3
driver	750	0
ideas	745	19
Sherman	727	7
art	714	740
inspect	710	44
post	707	0
Entrez	707	201
kit	703	7
germline	702	269
promise	699	10
Blue	695	43
SRA	678	1971
Cytoscape	678	24259
proceed	670	0
translate	668	0
charts	665	0
ancestor	651	141
mimic	649	8
clone	649	7
pooling	640	6
mine	637	3
NMR	637	6
clean	630	45
heatmaps	628	0
abs	617	31
modest	612	38
zoom	609	97
seek	608	45
Bowtie	607	13563
Consensus	607	9
cortex	602	321
gamma	602	10
priority	600	31
SAM	594	225
favor	592	42
mix	587	22
UCSC Genome Browser	582	13212
Reactome	579	1005
scRNA-seq	576	42
Gillespie	576	0
PPI	563	10
Guide	561	5
trigger	559	1901
incidence	559	20
met	558	6
STRING	548	5707
boost	547	0
press	545	0
CRC	544	0
diffusion	541	40
snapshot	541	3
SARS-CoV-2	539	74
CNN	536	22
guides	530	49
dbSNP	519	4348
Jaccard	513	59
BWA	509	33622
reviewer	508	18
Mason	507	28
Breast Cancer	502	0
ring	499	119
fasta	499	12598
spot	497	35
MATLAB	496	0
UniProtKB	492	3418
p53	489	10
agent	486	0
Effective	486	71
ChIP-Seq	485	19
neuron	482	8
BED	480	1
Galaxy	478	1376
slope	478	46
optimizer	478	282
HIV-1	477	0
DESeq2	476	40545
centre	475	1
cardiac	475	0
focal	467	23
binning	461	324
Portal	459	34
cope	452	0
STAR	452	24368
Sampling	451	0
InterPro	449	6974
crop	449	1152
decipher	449	1901
anchor	448	0
superfamily	446	109
sigmoid	446	0
intact	445	987
compartments	445	283
PubChem	440	438
compile	438	2
bioconductor	434	10102
alphabet	433	11
sharp	430	35
logo	425	7
ggplot2	419	0
scikit-learn	415	0
Neuron	413	8
OMIM	411	3491
zebrafish	411	7
limma	409	18807
metal	407	3099
pivotal	406	0
pie	405	20
DrugBank	402	1667
Nanopore	401	12
blast	396	51664
Ray	387	625
cascade	387	5
t-SNE	386	11
flux	382	0
sativa	381	48
