PMCID,Sentence,True?,False?,NER_Tags,Topics
PMC11286849,"Using this technique, we identified 445 proteins with high confidence from trace amounts of highly pure spore preparations, including 52 of the 79 proteins (approximately 70%) previously demonstrated to be localized in spores in the SubtiWiki database and detected through direct protein analysis.",TRUE,FALSE,"(233, 242, 'SubtiWiki', 'subtiwiki')","Molecular interactions, pathways and networks, Gene expression, Model organisms, Endocrinology and metabolism, Phylogenetics"
PMC11286849,The 445 identified proteins were searched against the SubtiWiki and UniProt B.,TRUE,FALSE,"(54, 63, 'SubtiWiki', 'subtiwiki')","Molecular interactions, pathways and networks, Gene expression, Model organisms, Endocrinology and metabolism, Phylogenetics"
PMC11286849,"The identified proteins also included 52 (70%) of the 79 proteins previously annotated as ""sporulation proteins"" in the SubtiWiki database and found in direct protein analysis (marked in yellow in the Supplementary Table S4).",TRUE,FALSE,"(120, 129, 'SubtiWiki', 'subtiwiki')","Molecular interactions, pathways and networks, Gene expression, Model organisms, Endocrinology and metabolism, Phylogenetics"
PMC11286849,The localization of 52 of these 445 proteins in spores is listed in the SubtiWiki database (Supplementary Table S5).,TRUE,FALSE,"(72, 81, 'SubtiWiki', 'subtiwiki')","Molecular interactions, pathways and networks, Gene expression, Model organisms, Endocrinology and metabolism, Phylogenetics"
PMC10832249,MetaPathways v2.5 [37] was used to create the benchmark CAMI environment PGDB (ePGDB) which are PGDBs for microbial communities [38].,TRUE,FALSE,"(0, 12, 'MetaPathways', 'metapathways')","Metagenomics, Microbial ecology, Population genomics"
PMC10832249,MetaPathways utilizes a modified version of PathoLogic for pathway prediction.,TRUE,FALSE,"(0, 12, 'MetaPathways', 'metapathways')","Metagenomics, Microbial ecology, Population genomics"
PMC10832249,PathoLogic was not included in the comparison since MetaPathways uses it to create the ePGDB.,TRUE,FALSE,"(52, 64, 'MetaPathways', 'metapathways')","Metagenomics, Microbial ecology, Population genomics"
PMC10832249,One limitation of the CAMI ePGDB as a benchmark is that it is automatically generated using MetaPathways but the predictions have not been curated so it can be said that the results demonstrate more how similar the other prediction methods are with MetaPathways and PathoLogic than their actual prediction performance.,TRUE,FALSE,"(92, 104, 'MetaPathways', 'metapathways')","Metagenomics, Microbial ecology, Population genomics"
PMC11045623,We used Orbitrap HRMS data of surface water extracts to compare the Automated Target Screening (ATS) workflow with data evaluations performed with the vendor software TraceFinder and the established semi-automated analysis workflow in the MZmine software.,TRUE,FALSE,"(239, 245, 'MZmine', 'mzmine')","Proteomics, Metabolomics, Proteomics experiment, Small molecules"
PMC11045623,The ATS approach increased the overall evaluation performance of the peak annotation compared to the established MZmine module without the need for any post-hoc corrections.,TRUE,FALSE,"(113, 119, 'MZmine', 'mzmine')","Proteomics, Metabolomics, Proteomics experiment, Small molecules"
PMC11045623,"The need for higher throughput data processing in NTS and SS led to the creation of software such as MZmine, which has been used for partially or fully automatic data processing including smoothing, spectra deconvolution, peak detections, and gap filling with sufficient throughput [12, 13].",TRUE,FALSE,"(101, 107, 'MZmine', 'mzmine')","Proteomics, Metabolomics, Proteomics experiment, Small molecules"
PMC11045623,"In addition to NTS and SS, MZmine can also be used to perform targeted analysis by incorporating user-defined lists of target features and retention times to annotate peaks.",TRUE,FALSE,"(27, 33, 'MZmine', 'mzmine')","Proteomics, Metabolomics, Proteomics experiment, Small molecules"
PMC11045623,"In this study, we introduce an open-source unsupervised workflow for Automated Target Screening (ATS) of both GC-HRMS and LC-HRMS data and validate its performance against a manual evaluation in TraceFinder (TF) and batch-mode evaluation in MZmine using a real-life data set.",FALSE,FALSE,"(241, 247, 'MZmine', 'mzmine')","Proteomics, Metabolomics, Proteomics experiment, Small molecules"
PMC11045623,MZmine (version 2.51) was used for comparing the peak annotation performance of ATS to a sophisticated (semi-)automated analysis workflow.,TRUE,FALSE,"(0, 6, 'MZmine', 'mzmine')","Proteomics, Metabolomics, Proteomics experiment, Small molecules"
PMC11045623,"MZmine 2.51 was used in this comparison, although a newer version MZmine 3 has been launched during the preparation of the present study.",TRUE,FALSE,"(0, 6, 'MZmine', 'mzmine')","Proteomics, Metabolomics, Proteomics experiment, Small molecules"
PMC11045623,"As MZmine 3 still uses the same peak detection algorithms, we consider that the results using the older version are comparable [15].",TRUE,FALSE,"(3, 9, 'MZmine', 'mzmine')","Proteomics, Metabolomics, Proteomics experiment, Small molecules"
PMC11045623,The details regarding sample extraction and settings of TraceFinder and MZmine can be accessed from Text S1 to Text S3 in Supporting Information S1.,TRUE,FALSE,"(72, 78, 'MZmine', 'mzmine')","Proteomics, Metabolomics, Proteomics experiment, Small molecules"
PMC11045623,These “CHECK” cases are similar to the peak status “ESTIMATED” in MZmine.,TRUE,FALSE,"(66, 72, 'MZmine', 'mzmine')","Proteomics, Metabolomics, Proteomics experiment, Small molecules"
PMC11045623,"Compounds were selected for peak annotation performance comparison if they had at least one annotated response in one of the three evaluation workflows TraceFinder, ATS, or MZmine.",TRUE,FALSE,"(173, 179, 'MZmine', 'mzmine')","Proteomics, Metabolomics, Proteomics experiment, Small molecules"
PMC11045623,"The peak annotation was compared by calculating the fractions of false positives (FP), false negatives (FN), true positives (TP), and true negatives (TN) of all observations n for MZmine and ATS compared to the manual evaluation in TraceFinder.",TRUE,FALSE,"(180, 186, 'MZmine', 'mzmine')","Proteomics, Metabolomics, Proteomics experiment, Small molecules"
PMC11045623,Only features with the “DETECTED” peak status were included in MZmine.,TRUE,FALSE,"(63, 69, 'MZmine', 'mzmine')","Proteomics, Metabolomics, Proteomics experiment, Small molecules"
PMC11045623,The highest number of chemicals was identified in TF while ATS and MZmine have a lower number but similar patterns of detected chemicals.,FALSE,FALSE,"(67, 73, 'MZmine', 'mzmine')","Proteomics, Metabolomics, Proteomics experiment, Small molecules"
PMC11045623,"The comparison of the peak annotation (see Supporting Information S2, Table S2-4) via ATS_raw, ATS_mzML, and MZmine with selected key figures is listed in Table 1.",FALSE,FALSE,"(109, 115, 'MZmine', 'mzmine')","Proteomics, Metabolomics, Proteomics experiment, Small molecules"
PMC11045623,"For the MZmine analysis of the GC dataset, two sets of retention times were used, (i) a list with retention times as used by ATS with shifts in the range of −1.1 to −0.9 min simulating the case of shifted and not optimized analysis conditions and (ii) the same list of analytes but with exact, shift-corrected retention times as used with TF.",FALSE,FALSE,"(8, 14, 'MZmine', 'mzmine')","Proteomics, Metabolomics, Proteomics experiment, Small molecules"
PMC11045623," Table 1Results of the peak annotation comparison of ATS and MZmineInstrument modeWorkflowTPTNFPFNSensitivitySpecificityAccuracyLC-ESIposATS_raw61110291421300.820.880.86ATS_mzML5161086872230.700.930.84MZmine49710271312570.660.890.80LC-ESInegATS_raw20333483280.880.800.83ATS_mzML17235665580.740.850.81MZmine18431775720.720.810.77GC-EIATS_raw429165691210.780.710.76ATS_mzML382171631680.690.730.71MZmine362091723670.090.540.31MZmine_sc*365163711850.660.700.67*sc shift-corrected, TP true positives, TN true negatives, FP false positives, FN false negatives.",FALSE,FALSE,"(61, 67, 'MZmine', 'mzmine')","Proteomics, Metabolomics, Proteomics experiment, Small molecules"
PMC11045623,Results of the peak annotation comparison of ATS and MZmine,FALSE,FALSE,"(53, 59, 'MZmine', 'mzmine')","Proteomics, Metabolomics, Proteomics experiment, Small molecules"
PMC11045623,"The greatest improvement was observed for the sensitivity, which increased around 1.3-fold if ATS_raw is used compared to MZmine.",FALSE,FALSE,"(122, 128, 'MZmine', 'mzmine')","Proteomics, Metabolomics, Proteomics experiment, Small molecules"
PMC11045623,"However, this could only be achieved for the shift-corrected dataset for MZmine, where the retention times were adjusted a priori to exactly match the correct times as used in TF.",FALSE,FALSE,"(73, 79, 'MZmine', 'mzmine')","Proteomics, Metabolomics, Proteomics experiment, Small molecules"
PMC11045623,ATS increased overall performance and accuracy compared to MZmine (see Table 1).,FALSE,FALSE,"(59, 65, 'MZmine', 'mzmine')","Proteomics, Metabolomics, Proteomics experiment, Small molecules"
PMC11045623,"While some key numbers like sensitivity and specificity or even accuracy are in a similar range for ATS and MZmine (see Table 1), one has to consider that ATS was using a target feature list which was randomly shifted in the range of −1.1 and −0.9 min while MZmine was only performing well if retention times were exactly as observed for the datasets.",FALSE,FALSE,"(108, 114, 'MZmine', 'mzmine')","Proteomics, Metabolomics, Proteomics experiment, Small molecules"
PMC11045623,"For MZmine annotation, retention times of the compound list have to be adjusted prior to annotation in another software (e.g., R or MS Excel), and in TF all expected retention times can be adjusted after visual inspection globally in the method or in relation to internal standards serving as retention time reference.",FALSE,FALSE,"(4, 10, 'MZmine', 'mzmine')","Proteomics, Metabolomics, Proteomics experiment, Small molecules"
PMC11045623,"This was clearly demonstrated for the GC-EI dataset, which performed similarly for the shift-corrected MZmine dataset and the artificially shifted ATS datasets (see Table 1).",FALSE,FALSE,"(103, 109, 'MZmine', 'mzmine')","Proteomics, Metabolomics, Proteomics experiment, Small molecules"
